îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§,
2021,4,20,0,2102,SURIGAE,5,15.5 ,126.1 ,935,90,9,90,90,8,240,210,0,
2021,4,20,6,2102,SURIGAE,5,15.9 ,126.0 ,935,90,9,90,90,8,240,210,0,
2021,4,20,12,2102,SURIGAE,5,16.4 ,125.9 ,935,90,9,90,90,8,240,210,0,
2021,4,20,18,2102,SURIGAE,5,17.0 ,125.5 ,935,90,9,90,90,8,240,210,0,
2021,4,21,0,2102,SURIGAE,5,17.5 ,125.2 ,935,90,9,90,90,9,210,210,0,
2021,4,21,6,2102,SURIGAE,5,18.2 ,125.0 ,935,90,9,90,90,9,210,210,0,
2021,4,21,12,2102,SURIGAE,5,18.8 ,124.8 ,935,90,9,90,90,9,210,210,0,
2021,4,21,18,2102,SURIGAE,5,19.3 ,124.8 ,945,85,9,90,90,9,210,210,0,
2021,4,22,0,2102,SURIGAE,5,19.7 ,124.9 ,945,85,9,90,90,9,210,210,0,
2021,4,22,6,2102,SURIGAE,5,20.3 ,125.4 ,945,85,9,90,90,9,210,210,0,
2021,4,22,12,2102,SURIGAE,5,20.9 ,126.2 ,950,80,9,90,90,9,180,180,0,
2021,4,22,18,2102,SURIGAE,5,21.6 ,127.2 ,960,75,9,90,90,9,180,180,0,
2021,4,23,0,2102,SURIGAE,5,22.8 ,128.5 ,970,65,9,90,90,9,180,180,0,
2021,4,23,6,2102,SURIGAE,4,23.1 ,128.9 ,975,60,9,90,90,9,180,180,0,
2021,4,23,12,2102,SURIGAE,4,23.4 ,129.8 ,980,55,9,90,90,9,180,180,0,
2021,4,23,18,2102,SURIGAE,4,23.4 ,130.5 ,985,50,0,0,0,9,180,180,0,
2021,4,24,0,2102,SURIGAE,4,23.0 ,131.2 ,985,50,0,0,0,9,180,180,0,
2021,4,24,6,2102,SURIGAE,3,22.7 ,131.8 ,990,45,0,0,0,9,210,210,0,
2021,4,24,12,2102,SURIGAE,3,22.2 ,132.8 ,994,40,0,0,0,9,210,210,0,
2021,4,24,18,2102,SURIGAE,3,21.7 ,134.1 ,996,35,0,0,0,9,210,210,0,
